id,source_lat,source_long,target_lat,target_long,source,target,distance,slope,geometry,nearby_features,elevation_diff,is_uphill,across
1815,37.4058638,127.1171833,37.4054172,127.1173605,4295438192,4295438189,52.823,0.0,"LINESTRING (127.1171833 37.4058638, 127.1171788 37.4057701, 127.1173605 37.4054172)",none,0.0,False,0
1816,37.4058638,127.1171833,37.405872,127.1174104,4295438192,4295438194,20.081,0.0,"LINESTRING (127.1171833 37.4058638, 127.1173031 37.4058677, 127.1174104 37.405872)",none,0.0,False,0
1817,37.405872,127.1174104,37.4058638,127.1171833,4295438194,4295438192,20.081,0.0,"LINESTRING (127.1174104 37.405872, 127.1173031 37.4058677, 127.1171833 37.4058638)",none,0.0,False,0
1818,37.406669,127.1164019,37.4066727,127.1171737,4295438195,3855806877,68.172,0.0934502582965139,,none,-7.0,False,0
1819,37.406669,127.1164019,37.4066144,127.1143917,4295438195,4297272568,178.348,0.5607015497790835,"LINESTRING (127.1164019 37.406669, 127.1154414 37.4066789, 127.1149121 37.4066868, 127.1147029 37.4066698, 127.1143917 37.4066144)",none,1.0,True,0
1820,37.406669,127.1164019,37.4069032,127.1164019,4295438195,4295438197,26.042,0.0,"LINESTRING (127.1164019 37.406669, 127.1164019 37.4067668, 127.1164019 37.4069032)",park: 송현공원,0.0,False,0
1821,37.4069032,127.1164019,37.406669,127.1164019,4295438197,4295438195,26.042,0.0,"LINESTRING (127.1164019 37.4069032, 127.1164019 37.4067668, 127.1164019 37.406669)",park: 송현공원,0.0,False,0
1822,37.4062548,127.1154623,37.4062632,127.1158139,4295438207,4354981344,31.07,0.0,,none,0.0,False,0
1823,37.4058075,127.1154586,37.4062665,127.1162207,4295438214,4354981350,170.179,-1.7628497053102907,"LINESTRING (127.1154586 37.4058075, 127.1163858 37.405791, 127.1164824 37.4058081, 127.1165253 37.4058294, 127.1165628 37.4058762, 127.1165613 37.4062044, 127.1164502 37.4062683, 127.1162207 37.4062665)",none,-3.0,False,0
1824,37.4046863,127.115715,37.4042302,127.1148584,4297272543,4297272544,91.088,0.0,,park: 어린이공원,0.0,False,0
1825,37.4042302,127.1148584,37.4046863,127.115715,4297272544,4297272543,91.088,0.0,,park: 어린이공원,0.0,False,0
1826,37.4042302,127.1148584,37.4034206,127.1155907,4297272544,4297272546,110.853,1.1079727422931205,"LINESTRING (127.1148584 37.4042302, 127.1152271 37.4038218, 127.1155907 37.4034206)",park: 어린이공원,-18.0,False,0
1827,37.4042302,127.1148584,37.4044079,127.1136994,4297272544,4297273602,130.786,8.410686159069014,"LINESTRING (127.1148584 37.4042302, 127.1145473 37.4041002, 127.1144132 37.4040661, 127.1142737 37.4040363, 127.114102 37.404032, 127.1139948 37.4040576, 127.1139036 37.4041002, 127.1138231 37.4041428, 127.1137909 37.4041855, 127.1137534 37.4042579, 127.1136994 37.4044079)",park: 어린이공원,11.0,True,0
1828,37.4034206,127.1155907,37.4038069,127.1164131,4297272546,11918729032,84.393,0.0,,none,0.0,False,0
